"scientificName","year","lon","lat","presence","row_code","system.index","bio01","bio02","bio03","bio04","bio05","bio06","bio07","bio08","bio09","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","geo","landcover","forest","shrub","grass","wetland","crop","urban","water"
"Aedes sierrensis",2026,-116.901891,33.340127,1,1,"00000000000000000000",12.3029207232267,13.6452016689847,46.4659248956885,57.9632127955494,29.1305980528512,0.00931849791376912,29.1212795549374,6.2115438108484,18.0428372739917,20.2824756606398,5.9874826147427,737.321279554938,129.244784422809,3.17524339360223,79.5201668984701,383.261474269819,32.4269819193324,49.961057023644,365.835883171071,"{""type"":""Polygon"",""coordinates"":[[[-116.90188899463226,33.34912667763147],[-116.90828006467287,33.347371735109796],[-116.91217807620188,33.342791501758406],[-116.91206302563847,33.337172533796235],[-116.9079804544342,33.33270621910293],[-116.90152274219001,33.3311341495956],[-116.89520782990955,33.333069281622265],[-116.89149802078151,33.33775709516719],[-116.89184040348884,33.34336960124415],[-116.89610211744589,33.34771789396339],[-116.90188899463226,33.34912667763147]]]}",3,1,0,0,0,0,0,0
"Aedes sierrensis",2026,-122.375455,40.568678,1,2,"00000000000000000001",16.8688343558282,14.5282208588957,41.3852760736196,70.3900981595092,36.8896932515337,2.3,34.5896932515337,8.32883435582822,26.0688343558282,26.0688343558282,8.32883435582822,1104.69202453988,213.826993865031,5,78.4773006134969,556.158282208589,33.3914110429448,33.3914110429448,556.158282208589,"{""type"":""Polygon"",""coordinates"":[[[-122.3754533741413,40.577677295149414],[-122.3824823223362,40.57592230330046],[-122.38676920613551,40.57134199143058],[-122.38664245707271,40.56572302631395],[-122.38215246868866,40.56125679181233],[-122.37505058950934,40.559684766951555],[-122.36810574125202,40.561619845235974],[-122.36402568110027,40.56630758229701],[-122.36440200907153,40.57192009682261],[-122.36908891428835,40.57626847103967],[-122.3754533741413,40.577677295149414]]]}",17,0,0,0,0,0,1,0
"Aedes sierrensis",2026,-121.114189,38.754787,1,3,"00000000000000000002",16.0215762273902,13.7515503875969,43,61.6810465116279,34.443023255814,2.79935400516796,31.643669250646,8.42842377260982,23.8403100775194,23.9010335917313,8.31989664082687,656.298449612403,133.777777777778,1,83.2945736434109,336.704134366925,11,14.187338501292,336.704134366925,"{""type"":""Polygon"",""coordinates"":[[[-121.11418772297203,38.763786332224484],[-121.12103450685063,38.76203135366907],[-121.1252103375832,38.757451062959234],[-121.12508692997305,38.75183209707528],[-121.12071329103749,38.7473658409627],[-121.11379537108546,38.74579380407028],[-121.1070304180602,38.74772889683752],[-121.10305609360904,38.75241665451038],[-121.10342272818662,38.75802916675962],[-121.10798820835939,38.76237751901363],[-121.11418772297203,38.763786332224484]]]}",18,0,0,0,0,0,0,1
"Aedes sierrensis",2026,-117.868063,34.404583,1,4,"00000000000000000003",11.456121045392,14.1398899587345,44.5515818431912,62.5094360385144,29.2405777166437,-2.18033012379642,31.4209078404402,4.88115543328748,19.7225584594223,19.9936726272352,4.36313617606602,696.463548830812,135.98211829436,2.55020632737276,86.503438789546,382.002751031637,14.6423658872077,31.7372764786795,365.181568088033,"{""type"":""Polygon"",""coordinates"":[[[-117.86806471538763,34.4135809856048],[-117.87453601324576,34.411826036378244],[-117.87848293450055,34.407245792353855],[-117.87836641271699,34.401626824778184],[-117.87423259941674,34.397160520985324],[-117.86769386816997,34.395588457546914],[-117.86129972676994,34.39752358226826],[-117.85754335006699,34.402211385416805],[-117.85789000231239,34.40782389264247],[-117.86220519392995,34.41217219643964],[-117.86806471538763,34.4135809856048]]]}",1,1,0,0,0,0,0,0
"Aedes sierrensis",2026,-122.008762,37.264225,1,5,"00000000000000000004",14.7550318471338,13.3228025477707,53.9770700636943,40.516203821656,28.0743949044586,3.47146496815287,24.6029299363057,9.62305732484077,19.6965605095541,19.8977070063694,9.62305732484077,577.231847133758,124.91847133758,1,90.6458598726115,316.48152866242,5,10.1643312101911,316.48152866242,"{""type"":""Polygon"",""coordinates"":[[[-122.00876365811222,37.273224786684914],[-122.01547258914718,37.27146981855664],[-122.01956438008244,37.2668895444445],[-122.01944350064804,37.2612705779589],[-122.01515790927611,37.256804304894956],[-122.00837920125473,37.255232258564945],[-122.00175038468498,37.25716736269247],[-121.99785607576052,37.261855136532944],[-121.99821537436867,37.267467646996394],[-122.0026889657911,37.27181598202292],[-122.00876365811222,37.273224786684914]]]}",17,0,0,0,0,0,1,0
"Aedes sierrensis",2025,-122.327089,44.152846,1,6,"00000000000000000005",10.4602209944751,13.2798895027624,45,55.7584640883978,28.191270718232,-1.05049723756906,29.2417679558011,3.88033149171271,17.6181215469613,17.6602209944751,3.58033149171271,1606.34806629834,251.946961325967,19,58.8883977900552,728.802209944751,109.619889502762,114.002209944751,660.602209944751,"{""type"":""Polygon"",""coordinates"":[[[-122.32708996411563,44.16184475359551],[-122.33453187913997,44.160089733209794],[-122.33907051731963,44.15550937591732],[-122.33893618943439,44.14989041244906],[-122.33418243760227,44.145424224337916],[-122.3266635288242,44.143852225303945],[-122.31931086367845,44.14578727249988],[-122.31499110079751,44.150474965315055],[-122.31538939976373,44.156087484725944],[-122.32035157297653,44.16043590608944],[-122.32708996411563,44.16184475359551]]]}",1,1,0,0,0,0,0,0
"Aedes sierrensis",2025,-122.197303,37.355992,1,7,"00000000000000000006",13.493935483871,11.8414193548387,55,34.6598838709677,24.9694193548387,3.70696774193548,21.2624516129032,9.31974193548387,17.6656774193548,18.1107096774194,9.31974193548387,738.303225806452,149.036129032258,2,86.5948387096774,386.708387096774,9.87870967741936,14.2425806451613,386.708387096774,"{""type"":""Polygon"",""coordinates"":[[[-122.19730336885402,37.36499308636483],[-122.20402049585466,37.36323811760669],[-122.20811728333734,37.35865784249192],[-122.20799625360007,37.35303887604267],[-122.20370542740605,37.348572604002705],[-122.19691844260102,37.347000558242804],[-122.1902815320991,37.348935661684074],[-122.18638246589447,37.3536234345479],[-122.18674220066764,37.35923594511923],[-122.19122125529188,37.363584281186434],[-122.19730336885402,37.36499308636483]]]}",6,1,0,0,0,0,0,0
"Aedes sierrensis",2025,-122.643173,38.095014,1,8,"00000000000000000007",13.3973417721519,12.0641772151899,54.7405063291139,36.7348860759494,25.5694936708861,3.68012658227848,21.8893670886076,9.18139240506329,17.7392405063291,18.1175949367089,8.87481012658228,1019.59367088608,218.026582278481,1.70506329113924,90.446835443038,557.069620253164,11.420253164557,17.7075949367089,553.284810126582,"{""type"":""Polygon"",""coordinates"":[[[-122.64317334228915,38.104013281255575],[-122.64995784842223,38.10225830736797],[-122.65409571254987,38.09767802408826],[-122.65397344713354,38.09205905793495],[-122.6496395854139,38.08759279423393],[-122.6427845571337,38.08602075311669],[-122.63608110637763,38.087955850969465],[-122.63214293051824,38.0926436158799],[-122.6325062509694,38.09825612732974],[-122.6370302186141,38.102604471871715],[-122.64317334228915,38.104013281255575]]]}",1,1,0,0,0,0,0,0
"Aedes sierrensis",2025,-122.219982,37.372633,1,9,"00000000000000000008",13.5931937172775,11.567277486911,55.946335078534,33.501387434555,24.5185863874346,3.93350785340314,20.5850785340314,9.46282722513089,17.5596858638743,17.9803664921466,9.46282722513089,684.706806282723,138.149214659686,2,86.7853403141361,357.553664921466,9.37303664921466,13.488219895288,357.553664921466,"{""type"":""Polygon"",""coordinates"":[[[-122.21998235681185,37.38162999239523],[-122.2267009736711,37.379875023522736],[-122.23079866942359,37.37529474822594],[-122.23067761236423,37.36967578178327],[-122.22638583458689,37.36520950992923],[-122.21959734523236,37.36363746427283],[-122.21295896341962,37.3655725675895],[-122.20905903243896,37.37026034027602],[-122.20941884649783,37.375872850866934],[-122.2138988942202,37.38022118712307],[-122.21998235681185,37.38162999239523]]]}",17,0,0,0,0,0,1,0
"Aedes sierrensis",2025,-121.663469,36.753358,1,10,"00000000000000000009",14.0163870967742,12.2068387096774,60,27.8211870967742,24.4023225806452,4.28425806451613,20.118064516129,10.3713548387097,16.9069677419355,17.4069677419355,10.3713548387097,372.415483870968,75.9574193548387,1,87.1690322580645,199.276129032258,5,8.99870967741935,199.276129032258,"{""type"":""Polygon"",""coordinates"":[[[-121.66346870893759,36.762358956294776],[-121.67013268783747,36.760603991645176],[-121.6741970743664,36.756023723070335],[-121.67407701927836,36.75040475638407],[-121.66982013916137,36.74593847766482],[-121.66308682655945,36.74436642818624],[-121.656502402528,36.746301536103786],[-121.65263418569813,36.75098931533807],[-121.6529910920716,36.75660182520569],[-121.65743471964487,36.76095015448482],[-121.66346870893759,36.762358956294776]]]}",15,0,0,0,0,1,0,0
