system:index,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,presence,row_code,scientificName,year,.geo
00000000000000000117,73.5638418079096,123.71638418079094,29.0,9973.342372881354,281.74124293785314,-134.6045197740113,416.3457627118643,185.71638418079095,-47.604519774011294,197.18644067796606,-61.58644067796609,968.116384180791,107.20903954802259,56.3774011299435,17.0,284.3254237288136,186.35932203389834,282.0983050847458,192.21581920903955,0,280,Aedes communis,1999.5,"{""type"":""Polygon"",""coordinates"":[[[-73.36084960792522,43.68614785321391],[-73.36823225503211,43.68439283680877],[-73.37273476239308,43.6798124858522],[-73.37260152257315,43.67419352215392],[-73.36788562528471,43.66972732757188],[-73.36042656687538,43.66815532493541],[-73.35313242995154,43.67009037646777],[-73.34884706854929,43.67477807545472],[-73.34924221468854,43.68039059418427],[-73.35416488243787,43.68473900897139],[-73.36084960792522,43.68614785321391]]]}"
00000000000000000120,37.024945770065074,122.51952277657269,27.519522776572668,10901.25596529284,252.3644251626898,-185.5119305856833,437.8763557483731,158.1399132321041,-94.5119305856833,169.90130151843817,-111.66052060737528,845.2223427331888,108.87418655097613,28.0,37.0,301.4783080260304,111.03796095444686,300.1214750542299,113.2939262472885,0,289,Aedes communis,2018.67094515753,"{""type"":""Polygon"",""coordinates"":[[[-89.53754965500985,46.24255048715443],[-89.54526882200759,46.24079544856772],[-89.54997647655352,46.23621506230504],[-89.549837056882,46.23059609988898],[-89.54490622411109,46.22612994136531],[-89.53710734184506,46.2245579588031],[-89.52948088795152,46.22649298617147],[-89.52500019704073,46.23118065076684],[-89.52541324277377,46.23679317329268],[-89.53056021891362,46.24114162472598],[-89.53754965500985,46.24255048715443]]]}"
00000000000000000121,-29.27746741154563,107.13842333954067,23.0,12973.025450031038,208.8609559279951,-251.1446306641838,460.0055865921788,135.14276846679084,-99.27746741154564,135.14276846679084,-192.27746741154562,298.6418373680944,65.0,6.0,80.29981378026072,173.81936685288642,21.0,173.81936685288642,28.659217877094978,0,290,Aedes communis,2020.96296296296,"{""type"":""Polygon"",""coordinates"":[[[-145.7534500131052,63.938149666973274],[-145.765601085956,63.93639437958752],[-145.77301004339978,63.931813597371104],[-145.77278869808174,63.926194649402966],[-145.7650273416781,63.92172889526798],[-145.7527539461782,63.92015713780528],[-145.7407517895647,63.922091894212635],[-145.7336986863361,63.926779173102155],[-145.7343468992784,63.93239173813558],[-145.7424475745572,63.93674060056147],[-145.7534500131052,63.938149666973274]]]}"
00000000000000000122,13.295206971677562,156.4912854030501,38.0,8548.755991285405,238.6960784313726,-168.12745098039213,406.82352941176475,98.18409586056646,-43.7244008714597,123.99455337690632,-95.12854030501092,531.9019607843138,63.778867102396525,32.277777777777786,19.625272331154687,169.19172113289758,109.90196078431373,154.1002178649238,120.52941176470587,0,291,Aedes communis,2021.28571428571,"{""type"":""Polygon"",""coordinates"":[[[-110.53655345454565,44.964349170184164],[-110.54409873422284,44.96259414293539],[-110.54870038513165,44.95801377471903],[-110.5485641593046,44.95239481164744],[-110.54374438833548,44.94792863469295],[-110.53612109965114,44.94635664187007],[-110.52866636042138,44.94829168158952],[-110.52428660057191,44.952979363763774],[-110.52469039779507,44.95859188434931],[-110.52972146922617,44.962940317051306],[-110.53655345454565,44.964349170184164]]]}"
0000000000000000012b,39.87268770402611,120.1860718171926,26.68443960826986,11102.509249183895,254.18824809575625,-190.12731229597387,444.3155603917301,161.7965179542981,-113.12731229597388,174.20565832426547,-113.12731229597388,816.5114254624591,110.20348204570183,22.0,44.38955386289444,313.22089227421105,87.0,308.62568008705114,87.0,0,300,Aedes communis,2019.48387096774,"{""type"":""Polygon"",""coordinates"":[[[-90.04385382502231,45.79434840386836],[-90.05151067833188,45.792593369316386],[-90.05618034588561,45.78801298947568],[-90.0560420708967,45.78239402682631],[-90.05115103783011,45.77792786174385],[-90.04341508045508,45.776355875530285],[-90.03585016143096,45.77829090729391],[-90.03140563983183,45.7829785781449],[-90.03181537145424,45.78859109998029],[-90.03692081247368,45.79293954474786],[-90.04385382502231,45.79434840386836]]]}"
0000000000000000012e,72.3251461988304,123.49005847953217,29.0,9934.823391812866,279.6947368421052,-135.05847953216374,414.7532163742689,184.99999999999997,-48.43157894736841,196.1052631578947,-61.732163742690055,989.9473684210524,108.47485380116959,58.24795321637426,16.0,287.4502923976608,192.68421052631575,285.92046783625733,198.47719298245607,0,303,Aedes communis,1999.69565217391,"{""type"":""Polygon"",""coordinates"":[[[-73.40235046142965,43.62804576648751],[-73.40972596885177,43.626290750564245],[-73.4142241237213,43.621710400374646],[-73.41409101496563,43.616091436648524],[-73.40937967781123,43.61162524128316],[-73.40192782926664,43.6100532382106],[-73.3946407429348,43.61198829026789],[-73.39035952569292,43.616675990001944],[-73.39075429201867,43.622288508649014],[-73.39567220075216,43.62663692264005],[-73.40235046142965,43.62804576648751]]]}"
00000000000000000131,98.0,103.41062801932368,26.0,9954.450483091789,289.34420289855075,-97.0,386.34420289855086,221.33574879227058,-36.0,221.33574879227058,-36.0,922.9842995169083,102.66425120772949,36.0,28.008454106280194,300.6642512077295,142.99154589371983,300.6642512077295,142.99154589371983,0,306,Aedes communis,2004.56980703746,"{""type"":""Polygon"",""coordinates"":[[[-87.83605033413703,41.843549197706885],[-87.84321660929817,41.84179419614696],[-87.84758721140756,41.837213868819745],[-87.84745794274069,41.83159490426387],[-87.84288024294965,41.82712868554896],[-87.83563968470631,41.82555666947714],[-87.82855922102073,41.82749173718204],[-87.82439945066754,41.832179459186214],[-87.8247830854923,41.837791975374465],[-87.82956152812335,41.842140365635444],[-87.83605033413703,41.843549197706885]]]}"
0000000000000000013d,58.529875986471254,133.74295377677564,31.0,9818.39909808343,267.1555806087936,-155.74069898534387,422.8962795941376,10.742953776775648,-60.10935738444193,180.9436302142052,-74.25704622322435,1178.4532130777902,118.40473506200676,83.29875986471251,10.0,328.108229988726,256.00225479143177,307.34949267192786,276.108229988726,0,318,Aedes communis,2019.80530973451,"{""type"":""Polygon"",""coordinates"":[[[-71.29414991077518,44.084550695935086],[-71.30158209600961,44.0827956762005],[-71.30611480273714,44.07821531994445],[-71.30598065348478,44.07259635643856],[-71.30123311608757,44.06813016726892],[-71.29372403270257,44.06655816764565],[-71.286380975899,44.06849321555093],[-71.282066860578,44.07318090937567],[-71.28246464196633,44.078793428675105],[-71.28742032972352,44.08314184896287],[-71.29414991077518,44.084550695935086]]]}"
00000000000000000147,-40.52315914489311,101.6442992874109,20.0,14775.703087885982,214.76662707838477,-283.21555819477436,497.9821852731591,143.5896674584323,-123.01068883610452,143.5896674584323,-231.8895486935867,311.94774346793344,50.26247030878859,7.770783847980997,50.203681710213765,139.06769596199527,37.46615201900238,139.06769596199527,58.98456057007125,0,328,Aedes communis,2019.50610820244,"{""type"":""Polygon"",""coordinates"":[[[-147.50474411544187,65.16654728427761],[-147.51745524775458,65.16479196799642],[-147.52520550409415,65.16021113980075],[-147.52497372847395,65.15459219351847],[-147.51685469890344,65.15012648634199],[-147.50401598980127,65.1485547550148],[-147.49146099852197,65.15048947996159],[-147.48408282585183,65.15517671406086],[-147.48476067530115,65.16078928402239],[-147.49323455146762,65.16513819417509],[-147.50474411544187,65.16654728427761]]]}"
0000000000000000014f,21.46514575411914,154.07731305449937,41.97591888466413,7289.944233206591,219.59569074778196,-142.90114068441062,362.4968314321926,91.48669201520914,-34.6894803548796,117.79974651457542,-66.73003802281369,555.1812420785803,60.22813688212927,33.43219264892269,20.778200253485423,168.83650190114062,109.83523447401775,166.14575411913813,110.28643852978453,0,336,Aedes communis,2019.25,"{""type"":""Polygon"",""coordinates"":[[[-105.53164505485485,40.17524788417698],[-105.538632148814,40.17349289533825],[-105.5428935170239,40.168912588259865],[-105.54276753577089,40.16329362296945],[-105.53830427992074,40.15882738357423],[-105.53124466725193,40.157255355989],[-105.52434115176541,40.15919043755291],[-105.52028538553668,40.16387817928131],[-105.52065948642385,40.169490693291486],[-105.52531849297004,40.1738390625352],[-105.53164505485485,40.17524788417698]]]}"
